 LaLiga Santander, Real Madrid, Cristiano Ronaldo, Portugal
 Eredivisie, Sparta Rotterdam, Craig Goodwin, Australia
 LIGA Bancomer MX, U.N.A.M., Bryan Rabello, Chile
 Sogaz Russian Football Championship, FC Rostov, Pavel Mogilevets, Russia
 Scottish Premiership, Celtic, Callum McGregor, Scotland
 Ligue 1, Toulouse Football Club, Corentin Jean, France
 Ligue 1, Dijon FCO, Kwon Chang Hoon, Korea Republic
 K LEAGUE Classic, Jeju United FC, Frédéric Mendy, Guinea-Bissau
 Raiffeisen Super League, Grasshopper Club Zürich, Rúnar Már Sigurjónsson, Iceland
 LaLiga 1 I 2 I 3, Cádiz CF, Aketxe, Spain
 LaLiga 1 I 2 I 3, Girona FC, Johan Mojica, Colombia
 Liga Dimayor, Junior FC, Rafael Carrascal, Colombia
 LIGA Bancomer MX, Cruz Azul, Martín Rodríguez, Chile
 Campeonato Scotiabank, Deportes Iquique, Álvaro Ramos, Chile
 Primera División, Defensa y Justicia, Pablo Alvarado, Argentina
 Primera División, Belgrano de Córdoba, Lucas Melano, Argentina
 Primera División, Racing Club, Marcelo Meli, Argentina
 EFL Championship, Brentford, Scott Hogan, England
 Sogaz Russian Football Championship, FC Rostov, Miha Mevlja, Slovenia
 Calcio A, Empoli, Mame Thiam, Senegal
 Calcio A, Terek Grozny, Norbert Gyömbér, Slovakia
 LIGA Bancomer MX, Monterrey, Jonathan Cristaldo, Argentina
 Major League Soccer, D.C. United, Steve Birnbaum, United States
 Belgium Pro League, KV Mechelen, Uroš Vitas, Serbia
 Raiffeisen Super League, FC Luzern, Francisco Rodríguez, Switzerland
 Österreichische Fußball-Bundesliga, SK Rapid Wien, Joelinton, Brazil
 Ligue 1, En Avant de Guingamp, Alexandre Mendy, France
 Österreichische Fußball-Bundesliga, FC Red Bull Salzburg, Stefan Lainer, Austria
 Ligue 1, Montpellier Hérault SC, Steve Mounié, Benin
 Domino’s Ligue 2, Valenciennes FC, Angelo Fulgini, France
 Belgium Pro League, Waasland-Beveren, Olivier Myny, Belgium
 Süper Lig, Çaykur Rizespor, Gökhan Akkan, Turkey
 Ekstraklasa, Śląsk Wrocław, Ryota Morioka, Japan
 Meiji Yasuda J1 League, Kashiwa Reysol, Kosuke Taketomi, Japan
 Süper Lig, Medipol Başakşehir FK, Cengiz Ünder, Turkey
 Alka Superliga, Bolton Wanderers, Filipe Morais, Portugal
 Premier League, Hull City, David Meyler, Republic of Ireland
 K LEAGUE Classic, Jeonbuk Hyundai Motors, Lee Jae Sung, Korea Republic
 EFL League One, Oxford United, Conor McAleny, England
 LaLiga 1 I 2 I 3, Getafe CF, Chuli, Spain
 Raiffeisen Super League, FC Luzern, Tomi Jurić, Australia
 EFL Championship, Djurgårdens IF, Gustav Engvall, Sweden
 Ekstraklasa, Arka Gdynia, Dariusz Formella, Poland
 EFL Championship, Birmingham City, Che Adams, England
 EFL League Two, Stevenage, Matt Godden, England
 Allsvenskan, Malmö FF, Paweł Cibicki, Poland
 Allsvenskan, AIK, Stefan Ishizaki, Sweden
 Belgium Pro League, Sint-Truidense VV, Rúben Fernandes, Portugal
 Allsvenskan, Djurgårdens IF, Andreas Isaksson, Sweden
 Alka Superliga, Houston Dynamo, DaMarcus Beasley, United States
 Major League Soccer, Toronto FC, Benoît Cheyrou, France
 Ligue 1, AS Nancy Lorraine, Benoît Pedretti, France
 Allsvenskan, AIK, Nils-Eric Johansson, Sweden
 Calcio B, Ascoli, Daniele Cacia, Italy
 Bundesliga 2, 1. FC Nürnberg, Raphael Schäfer, Germany
 Alka Superliga, FC Midtjylland, Jakob Poulsen, Denmark
 Scottish Premiership, Rangers FC, Philippe Senderos, Switzerland
 Calcio A, Sampdoria, Angelo Palombo, Italy
 Bundesliga 2, Fortuna Düsseldorf, Alexander Madlung, Germany
 Scottish Premiership, Celtic, Kris Commons, Scotland
 Calcio A, Sassuolo, Gianluca Pegolo, Italy
 LaLiga 1 I 2 I 3, Rayo Vallecano, Dorado, Spain
 LaLiga Santander, Málaga CF, Duda, Portugal
 Ligue 1, Montpellier Hérault SC, Laurent Pionnier, France
 Bundesliga, RB Leipzig, Fabio Coltorti, Switzerland
 Süper Lig, Gaziantepspor, Elyasa Süme, Turkey
 Calcio B, Cesena, Michael Agazzi, Italy
 Calcio A, Pescara, Hugo Campagnaro, Argentina
 Calcio B, Novara, Andrea Mantovani, Italy
 Belgium Pro League, KVC Westerlo, Filip Daems, Belgium
 Süper Lig, Osmanlıspor, Hakan Arıkan, Turkey
 Süper Lig, Bursaspor, Merter Yüce, Turkey
 Scottish Premiership, Celtic, Scott Brown, Scotland
 Bundesliga, 1. FSV Mainz 05, Niki Zimling, Denmark
 Bundesliga 2, TSV 1860 München, Michael Liendl, Austria
 Hyundai A-League, Melbourne City, Thomas Sørensen, Denmark
 Alka Superliga, Chaves, Luís Alberto, Brazil
 K LEAGUE Classic, Seongnam FC, Kim Do Heon, Korea Republic
 Belgium Pro League, SV Zulte-Waregem, Christophe Lepoint, Belgium
 Calcio A, Atalanta, Giulio Migliaccio, Italy
 Eredivisie, Vitesse, Arnold Kruiswijk, Holland
 Calcio B, Vicenza, Francesco Benussi, Italy
 Alka Superliga, Esbjerg fB, Jesper Jørgensen, Denmark
 EFL Championship, Norwich City, Michael Turner, England
 Belgium Pro League, KV Oostende, David Rozehnal, Czech Republic
 LaLiga 1 I 2 I 3, Rayo Vallecano, Amaya, Spain
 Ligue 1, Montpellier Hérault SC, Joris Marveaux, France
 Primera División, Estudiantes de La Plata, Rodrigo Braña, Argentina
 Primera División, Victoria, Emiliano Papa, Argentina
 Primera División, Colón de Santa Fe, Ismael Blanco, Argentina
 Primera División, Quilmes Atlético Club, Diego Colotto, Argentina
 Österreichische Fußball-Bundesliga, FC Red Bull Salzburg, Christian Schwegler, Switzerland
 LaLiga 1 I 2 I 3, CD Lugo, Seoane, Spain
 LaLiga Santander, UD Las Palmas, Momo, Spain
 LaLiga 1 I 2 I 3, UD Almería, Corona, Spain
 Primera División, River Plate, Iván Alonso, Uruguay
 Sogaz Russian Football Championship, FC Krasnodar, Dmitriy Torbinskiy, Russia
 Premier League, Leicester City, Marcin Wasilewski, Poland
 Tippeligaen, Odds BK, Espen Ruud, Norway
 Bundesliga 2, SpVgg Greuther Fuerth, Marco Caligiuri, Germany
 EFL Championship, Derby County, Bradley Johnson, England
 Premier League, Middlesbrough, Dimitrios Konstantopoulos, Greece
 EFL Championship, Brighton & Hove Albion, Liam Rosenior, England
 Alka Superliga, San Jose Earthquakes, Clarence Goodson, United States
 Primera División, Liniers, Cristian Nasuti, Argentina
 Primera División, Club Atlético Huracán, Daniel Montenegro, Argentina
 Allsvenskan, Malmö FF, Magnus Wolff Eikrem, Norway
 Primera División, Rosario Central, Gustavo Colman, Argentina
 Süper Lig, Kardemir Karabükspor, Valerică Găman, Romania
 EFL Championship, Wolverhampton Wanderers, Richard Stearman, England
 EFL Championship, Ipswich Town, Bartosz Białkowski, Poland
 Raiffeisen Super League, FC Sion, Carlitos, Portugal
 Liga Dimayor, Independiente Medellín, Mauricio Molina, Colombia
 Eredivisie, FC Utrecht, Edson Braafheid, Holland
 Bundesliga 2, Karlsruher SC, Moritz Stoppelkamp, Germany
 EFL Championship, Derby County, Scott Carson, England
 Primera División, Racing Club, Pablo Álvarez, Argentina
 Primera División, Colón de Santa Fe, Jorge Carranza, Argentina
 Campeonato Scotiabank, Deportes Iquique, Luis Gonzalo Bustamante, Argentina
 Eredivisie, FC Utrecht, Willem Janssen, Holland
 Ekstraklasa, Legia Warszawa, Kasper Hämäläinen, Finland
 Ukrayina Liha, Shakhtar Donetsk, Vasyl Kobin, Ukraine
 Liga Dimayor, Junior FC, Sebastián Viera, Uruguay
 Domino’s Ligue 2, Gazélec Football Club Ajaccio, François Clerc, France
 LaLiga 1 I 2 I 3, RCD Mallorca, Emmanuel Culio, Argentina
 LaLiga 1 I 2 I 3, Levante UD, Víctor Casadesús, Spain
 EFL Championship, Sheffield Wednesday, David Jones, England
 Belgium Pro League, KV Oostende, Franck Berrier, France
 Bundesliga 2, VfL Bochum 1848, Tim Hoogland, Germany
 Domino’s Ligue 2, Havre Athletic Club, Cédric Cambon, France
 Premier League, Burnley, Stephen Ward, Republic of Ireland
 LaLiga 1 I 2 I 3, Getafe CF, Molinero, Spain
 Sogaz Russian Football Championship, FC Rostov, Alexandr Bukharov, Russia
 Premier League, Bournemouth, Marc Pugh, England
 Sogaz Russian Football Championship, Zenit St. Petersburg, Viktor Fayzulin, Russia
 Alka Superliga, Ventforet Kofu, Marquinhos Paraná, Brazil
 LIGA Bancomer MX, Club Atlas, Oscar Ustari, Argentina
 Liga NOS, Chaves, Simon Vukčević, Montenegro
 LIGA Bancomer MX, Tigres U.A.N.L., Jorge Torres Nilo, Mexico
 Sogaz Russian Football Championship, Zenit St. Petersburg, Alexandr Ryazantsev, Russia
 Liga Dimayor, Once Caldas, Elkin Soto, Colombia
 Ligue 1, Stade Malherbe Caen, Mouhamadou Dabo, France
 Ligue 1, En Avant de Guingamp, Jonathan Martins Pereira, France
 Bundesliga, FC Ingolstadt 04, Markus Suttner, Austria
 Calcio B, Cesena, Emmanuel Cascione, Italy
 Premier League, Bournemouth, Charlie Daniels, England
 Domino’s Ligue 2, Stade Brestois 29, Youssef Adnane, France
 Liga NOS, CF Os Belenenses, Hugo Ventura, Portugal
 EFL Championship, Ipswich Town, Cole Skuse, England
 Calcio B, Cesena, Antonio Balzano, Italy
 LaLiga Santander, D. Alavés, Toquero, Spain
 LaLiga 1 I 2 I 3, Córdoba CF, Luso, Spain
 Primera División, Club Atlético Huracán, Matías Fritzler, Argentina
 EFL Championship, Reading, Joey van den Berg, Holland
 Belgium Pro League, KV Kortrijk, Gertjan De Mets, Belgium
 Tippeligaen, Molde FK, Joona Toivio, Finland
 LaLiga 1 I 2 I 3, R. Oviedo, David Fernández, Spain
 Belgium Pro League, Standard de Liège, Réginal Goreux, Haiti
 Alka Superliga, SønderjyskE, Pierre Kanstrup, Denmark
 LIGA Bancomer MX, Tiburones Rojos de Veracruz, Matías Cahais, Argentina
 Belgium Pro League, SV Zulte-Waregem, Onur Kaya, Belgium
 Calcio B, Avellino, Matteo Ardemagni, Italy
 Ekstraklasa, Legia Warszawa, Tomasz Jodłowiec, Poland
 Alka Superliga, SV Darmstadt 98, Victor Obinna, Nigeria
 Hellas Liga, PAOK, Stylianos Malezas, Greece
 EFL Championship, Bristol City, Lee Tomlin, England
 Calcio A, Juventus, Paolo De Ceglie, Italy
 Campeonato Scotiabank, Colo-Colo, Ramón Fernández, Argentina
 Österreichische Fußball-Bundesliga, FC Red Bull Salzburg, Christoph Leitgeb, Austria
 EFL Championship, Fulham, Sone Aluko, Nigeria
 EFL Championship, Reading, Chris Gunter, Wales
 Belgium Pro League, KV Oostende, Didier Ovono Ebang, Gabon
 EFL Championship, Fulham, Kevin McDonald, Scotland
 Calcio B, Pisa, Samir Ujkani, Kosovo
 Meiji Yasuda J1 League, Urawa Red Diamonds, Zlatan Ljubijankič, Slovenia
 Allsvenskan, IFK Göteborg, Mattias Bjärsmyr, Sweden
 Calcio B, Latina, McDonald Mariga, Kenya
 Liga Dimayor, Deportivo Cali, Máyer Candelo, Colombia
 Campeonato Scotiabank, CD Antofagasta, Hugo Droguett, Chile
 Major League Soccer, Philadelphia Union, Ilsinho, Brazil
 LIGA Bancomer MX, Monarcas Morelia, Carlos Felipe Rodríguez, Mexico
 Calcio B, Cesena, Daniele Capelli, Italy
 Hellas Liga, PAOK, Diego Biseswar, Holland
 Eredivisie, Roda JC Kerkrade, Chris Kum, Germany
 Premier League, Burnley, Scott Arfield, Canada
 Ligue 1, Sporting Club de Bastia, Gilles Cioni, France
 EFL Championship, Cardiff City, Anthony Pilkington, Republic of Ireland
 LIGA Bancomer MX, Club América, Miguel Samudio, Paraguay
 Major League Soccer, Philadelphia Union, Maurice Edu, United States
 EFL Championship, Preston North End, Jermaine Beckford, Jamaica
 Alka Superliga, Adanaspor, Edgar, Brazil
 K LEAGUE Classic, Pohang Steelers, Lulinha, Brazil
 Süper Lig, Kardemir Karabükspor, Ceyhun Gülselam, Turkey
 Liga NOS, FC Arouca, Anderson Luís, Brazil
 Allsvenskan, Malmö FF, Rasmus Bengtsson, Sweden
 Ligue 1, FC Lorient, François Bellugou, France
 Domino’s Ligue 2, ESTAC Troyes, Rincón, Brazil
 Bundesliga 2, 1. FC Nürnberg, Tim Matavž, Slovenia
 Sogaz Russian Football Championship, FC Rostov, Fedor Kudryashov, Russia
 EFL Championship, Brighton & Hove Albion, Dale Stephens, England
 Bundesliga, FC Augsburg, Jan Morávek, Czech Republic
 Alka Superliga, SC Braga, Luís Aguiar, Uruguay
 Liga Dimayor, Independiente Medellín, David González, Colombia
 Alka Superliga, Yokohama F. Marinos, Kayke, Brazil
 EFL Championship, Sheffield Wednesday, Barry Bannan, Scotland
 Bundesliga 2, TSV 1860 München, Sascha Mölders, Germany
 EFL Championship, Norwich City, Ryan Bennett, England
 LIGA Bancomer MX, Jaguares de Chiapas, Brayan Angulo, Colombia
 Bundesliga, FC Ingolstadt 04, Martin Hansen, Denmark
 Ligue 1, AS Nancy Lorraine, Julien Cétout, France
 EFL Championship, Wigan Athletic, Ádám Bogdán, Hungary
 Calcio B, Novara, Tomasz Kupisz, Poland
 LIGA Bancomer MX, Santos Laguna, Jorge Villafaña, United States
 Premier League, Bournemouth, Dan Gosling, England
 Ligue 1, Angers SCO, Denis Petric, Serbia
 Liga NOS, Estoril Praia, Mano, Portugal
 EFL Championship, Derby County, Johnny Russell, Scotland
 LaLiga Santander, SD Eibar, Yoel, Spain
 Liga NOS, Vitória Setúbal, Vasco Fernandes, Portugal
 Belgium Pro League, Waasland-Beveren, László Köteles, Hungary
 Liga NOS, CS Marítimo, Gevorg Ghazaryan, Armenia
 Calcio A, Empoli, Levan Mchedlidze, Georgia
 Premier League, Middlesbrough, Christian Stuani, Uruguay
 Premier League, Leicester City, Andy King, Wales
 Campeonato Scotiabank, Audax Italiano, Nicolás Peric, Chile
 Ekstraklasa, Lech Poznań, Tamás Kádár, Hungary
 Sogaz Russian Football Championship, FC Anzhi Makhachkala, Mohammed Rabiu, Ghana
 Alka Superliga, San Jose Earthquakes, Innocent Emeghara, Switzerland
 South African FL, Kaizer Chiefs, Tsepo Masilela, South Africa
 LIGA Bancomer MX, Tigres U.A.N.L., Israel Jiménez, Mexico
 EFL Championship, Fulham, Stefan Johansen, Norway
 Sogaz Russian Football Championship, FC Rostov, Vladimir Granat, Russia
 Campeonato Scotiabank, Colo-Colo, Paulo Garcés, Chile
 Sogaz Russian Football Championship, Spartak Moscow, Sergey Pesyakov, Russia
 LIGA Bancomer MX, Guadalajara, Edwin Hernández, Mexico
 Calcio B, Novara, Francesco Bolzoni, Italy
 Premier League, Hull City, Adama Valentin Diomande, Norway
 Süper Lig, Trabzonspor, Luis Ibáñez, Argentina
 Campeonato Scotiabank, Universidad Católica, Ricardo Noir, Argentina
 Primera División, Estudiantes de La Plata, Lucas Viatri, Argentina
 Bundesliga 2, FC St. Pauli Hamburg, Aziz Bouhaddouz, Morocco
 Süper Lig, Antalyaspor, Ramon Motta, Brazil
 Ligue 1, Montpellier Hérault SC, William Rémy, France
 LaLiga 1 I 2 I 3, R. Zaragoza, Xumetra, Spain
 LaLiga 1 I 2 I 3, Girona FC, Sandaza, Spain
 LIGA Bancomer MX, Guadalajara, Néstor Calderón, Mexico
 Calcio B, Hellas Verona, Samuel Souprayen, France
 EFL Championship, Reading, Garath McCleary, Jamaica
 Eredivisie, AZ, Mattias Johansson, Sweden
 EFL Championship, Aston Villa, Nathan Baker, England
 Süper Lig, Gaziantepspor, Davy Claude Angan, Côte d'Ivoire
 LaLiga 1 I 2 I 3, CD Tenerife, Dani Hernández, Venezuela
 Calcio A, Empoli, Guido Marilungo, Italy
 Alka Superliga, Sassuolo, Jonathan Rossini, Switzerland
 Calcio B, Bari, Migjen Basha, Albania
 EFL Championship, Cardiff City, Craig Noone, England
 Eredivisie, Vitesse, Maikel van der Werff, Holland
 Ligue 1, Angers SCO, Vincent Manceau, France
 K LEAGUE Classic, Jeju United FC, Marcelo Toscano, Brazil
 Süper Lig, Bursaspor, Mert Günok, Turkey
 Domino’s Ligue 2, ESTAC Troyes, Mamadou Samassa, Mali
 Ligue 1, FC Lorient, Zargo Touré, Senegal
 Belgium Pro League, Standard de Liège, Eyong Enoh, Cameroon
 Liga NOS, Rio Ave FC, Guedes, Portugal
 South African FL, Kaizer Chiefs, Bernard Parker, South Africa
 LaLiga 1 I 2 I 3, R. Valladolid CF, Míchel, Spain
 Calcio B, Hellas Verona, Franco Zuculini, Argentina
 Raiffeisen Super League, FC St. Gallen, Danijel Aleksić, Serbia
 Bundesliga, Sport-Club Freiburg, Håvard Nielsen, Norway
 Calcio A, Genoa, Eugenio Lamanna, Italy
 Alka Superliga, Brøndby IF, Kamil Wilczek, Poland
 Premier League, Burnley, Jóhann Berg Gudmundsson, Iceland
 Dawry Jameel, Al Hilal, Salman Al Faraj, Saudi Arabia
 Bundesliga 2, Hannover 96, Miiko Albornoz, Chile
 Allsvenskan, BK Häcken, Paulinho, Brazil
 Alka Superliga, AIK, John Chibuike, Nigeria
 Ligue 1, FC Lorient, Maxime Barthelmé, France
 Bundesliga 2, DSC Arminia Bielefeld, Fabian Klos, Germany
 Ligue 1, En Avant de Guingamp, Mustapha Diallo, Senegal
 Bundesliga 2, Karlsruher SC, Jordi Figueras, Spain
 LaLiga 1 I 2 I 3, Girona FC, Juanpe, Spain
 Bundesliga, FC Ingolstadt 04, Moritz Hartmann, Germany
 Ligue 1, Toulouse Football Club, Tongo Doumbia, Mali
 LaLiga 1 I 2 I 3, RCD Mallorca, Joan Oriol, Spain
 Sogaz Russian Football Championship, FC Krylya Sovetov Samara, Giorgi Loria, Georgia
 Premier League, Bournemouth, Steve Cook, England
 Bundesliga 2, Hannover 96, Charlison Benschop, Holland
 LaLiga Santander, Granada CF, Matthieu Saunier, France
 Primera División, Racing Club, Iván Pillud, Argentina
 Eredivisie, AZ, Jop van der Linden, Holland
 LIGA Bancomer MX, Club León, Diego Novaretti, Argentina
 Calcio A, Sampdoria, Vasco Regini, Italy
 EFL Championship, Bristol City, Adam Matthews, Wales
 Bundesliga, SV Werder Bremen, Izet Hajrović, Bosnia and Herzegovina
 Sogaz Russian Football Championship, FC Anzhi Makhachkala, Pavel Yakovlev, Russia
 EFL Championship, Sheffield Wednesday, Jack Hunt, England
 EFL Championship, Derby County, Abdoul Razzagui Camara, Guinea
 LaLiga 1 I 2 I 3, UD Almería, Trujillo, Spain
 Bundesliga, Sport-Club Freiburg, Rafał Gikiewicz, Poland
 LaLiga Santander, CA Osasuna, Fuentes, Spain
 Alka Superliga, Tiburones Rojos de Veracruz, Cristian Erbes, Argentina
 Sogaz Russian Football Championship, Terek Grozny, Rizvan Utsiev, Russia
 Bundesliga, FC Ingolstadt 04, Mathew Leckie, Australia
 LIGA Bancomer MX, Monarcas Morelia, Rodrigo Millar, Chile
 Alka Superliga, Atlético Nacional, Alejandro Guerra, Venezuela
 Major League Soccer, Houston Dynamo, Oscar Boniek García, Honduras
 Hellas Liga, Panathinaikos FC, Nuno Reis, Portugal
 Süper Lig, Kardemir Karabükspor, Dejan Lazarević, Slovenia
 Belgium Pro League, KV Kortrijk, Idriss Saadi, France
 Süper Lig, Kayserispor, Ali Ahamada, Comoros
 Tippeligaen, Rosenborg BK, Yann-Erik de Lanlay, Norway
 Calcio A, Sassuolo, Antonino Ragusa, Italy
 LaLiga Santander, CD Leganés, Guerrero, Spain
 EFL Championship, Derby County, Matěj Vydra, Czech Republic
 EFL Championship, Derby County, George Thorne, England
 LaLiga Santander, CA Osasuna, Tano Bonnin, Dominican Republic
 EFL Championship, Brentford, Josh McEachran, England
 Calcio A, Empoli, Uroš Ćosić, Serbia
 Calcio A, Genoa, Isaac Cofie, Ghana
 Sogaz Russian Football Championship, FC Krylya Sovetov Samara, Sergey Tkachev, Russia
 K LEAGUE Classic, Jeonbuk Hyundai Motors, Kim Bo Kyung, Korea Republic
 Belgium Pro League, RSC Anderlecht, Dennis Appiah, France
 Bundesliga, Sport-Club Freiburg, Amir Abrashi, Albania
 Bundesliga 2, VfL Bochum 1848, Anthony Losilla, France
 K LEAGUE Classic, Suwon Samsung Bluewings, Santos, Brazil
 Domino’s Ligue 2, Havre Athletic Club, Mathieu Duhamel, France
 Domino’s Ligue 2, Stade de Reims, Pablo Chavarría, Argentina
 Bundesliga 2, 1. FC Nürnberg, Tobias Kempe, Germany
 Bundesliga, Hamburger SV, Michael Gregoritsch, Austria
 Raiffeisen Super League, FC Basel, Taulant Xhaka, Albania
 Bundesliga 2, SpVgg Greuther Fuerth, Balázs Megyeri, Hungary
 Süper Lig, Osmanlıspor, Musa Çağıran, Turkey
 Bundesliga 2, Fortuna Düsseldorf, Lars Unnerstall, Germany
 Süper Lig, Çaykur Rizespor, Ahmet İlhan Özek, Turkey
 LaLiga Santander, SD Eibar, Arbilla, Spain
 Alka Superliga, FC København, Nicolai Boilesen, Denmark
 Major League Soccer, Philadelphia Union, Roland Alberg, Suriname
 Scottish Premiership, Aberdeen, Graeme Shinnie, Scotland
 Ligue 1, LOSC Lille, Adama Soumaoro, France
 LIGA Bancomer MX, Querétaro, Camilo, Brazil
 Premier League, Burnley, Jeff Hendrick, Republic of Ireland
 Dawry Jameel, Al Nassr, Bruno Uvini, Brazil
 EFL Championship, Fulham, Tomáš Kalas, Czech Republic
 Ligue 1, OGC Nice, Mickaël Le Bihan, France
 Calcio A, Pescara, Ledian Memushaj, Albania
 Calcio B, Cesena, Camillo Ciano, Italy
 LaLiga Santander, Málaga CF, Juankar, Spain
 Bundesliga 2, Hannover 96, Uffe Bech, Denmark
 Calcio A, Cagliari, Marco Capuano, Italy
 Belgium Pro League, Club Brugge KV, Anthony Limbombe, Belgium
 Alka Superliga, FC København, Andreas Cornelius, Denmark
 Liga Dimayor, Independiente Medellín, Luis Carlos Arias, Colombia
 Primera División, Rosario Central, José Luis Fernández, Argentina
 Bundesliga, FC Ingolstadt 04, Alfredo Morales, United States
 Premier League, Hull City, Moses Odubajo, England
 Bundesliga, FC Augsburg, Konstantinos Stafylidis, Greece
 Bundesliga, RB Leipzig, Diego Demme, Germany
 LaLiga Santander, UD Las Palmas, Hernán, Spain
 Bundesliga, Bayer 04 Leverkusen, Danny da Costa, Germany
 Eredivisie, FC Groningen, Etiënne Reijnen, Holland
 Calcio A, Pescara, Jean-Christophe Bahebeck, France
 Premier League, Hull City, Harry Maguire, England
 Alka Superliga, Albirex Niigata, Cortez, Brazil
 Eredivisie, Palermo, Ouasim Bouy, Morocco
 Bundesliga 2, 1. FC Union Berlin, Benjamin Kessel, Germany
 Sogaz Russian Football Championship, FC Krasnodar, Alyaksandr Martynovich, Belarus
 Belgium Pro League, RSC Anderlecht, Massimo Bruno, Belgium
 Calcio A, Pescara, Ahmad Benali, Libya
 Raiffeisen Super League, Grasshopper Club Zürich, Lucas Andersen, Denmark
 Bundesliga 2, Hannover 96, Marvin Bakalorz, Germany
 Hellas Liga, PAOK, Stelios Kitsiou, Greece
 Alka Superliga, Queens Park Rangers, Tjaronn Chery, Holland
 Ekstraklasa, Lechia Gdańsk, Rafał Wolski, Poland
 EFL Championship, Brighton & Hove Albion, Tomer Hemed, Israel
 Ligue 1, AS Saint-Étienne, Ole Kristian Selnæs, Norway
 Bundesliga 2, 1. FC Union Berlin, Philipp Hosiner, Austria
 Bundesliga 2, Eintracht Braunschweig, Salim Khelifi, Switzerland
 LIGA Bancomer MX, Club América, Renato Ibarra, Ecuador
 EFL Championship, Leeds United, Charlie Taylor, England
 Liga NOS, Moreirense FC, Nildo Petrolina, Brazil
 Calcio B, Hellas Verona, Mattia Valoti, Italy
 Ligue 1, AS Nancy Lorraine, Anthony Koura, France
 LIGA Bancomer MX, Santos Laguna, Djaniny, Cape Verde Islands
 Calcio A, Sassuolo, Luca Antei, Italy
 Calcio A, Cagliari, Luca Ceppitelli, Italy
 Liga NOS, CF Os Belenenses, André Sousa, Portugal
 Ligue 1, Sporting Club de Bastia, Lenny Nangis, France
 Bundesliga 2, 1. FC Nürnberg, Edgar Salli, Cameroon
 South African FL, Kaizer Chiefs, Eric Mathoho, South Africa
 Premier League, Middlesbrough, Calum Chambers, England
 Süper Lig, Kardemir Karabükspor, André Biyogo Poko, Gabon
 Alka Superliga, Stade Rennais FC, Paul Nardi, France
 Scottish Premiership, Celtic, Nir Bitton, Israel
 EFL Championship, Aston Villa, Jack Grealish, England
 Premier League, Liverpool, Kevin Stewart, England
 LaLiga 1 I 2 I 3, Rayo Vallecano, Pablo Iñiguez, Spain
 Calcio A, Crotone, Marcus Rohdén, Sweden
 Alka Superliga, PAOK, Markos Vellidis, Greece
 Meiji Yasuda J1 League, Kashiwa Reysol, Cristiano, Brazil
 Ligue 1, Stade Malherbe Caen, Syam Ben Youssef, Tunisia
 Major League Soccer, Sporting Kansas City, Dom Dwyer, England
 Belgium Pro League, RSC Anderlecht, Stéphane Badji, Senegal
 Alka Superliga, FC Tom Tomsk, Vitaliy Dyakov, Russia
 LaLiga Santander, Granada CF, Andreas Pereira, Brazil
 Alka Superliga, FC København, Peter Ankersen, Denmark
 LaLiga 1 I 2 I 3, AD Alcorcón, Óscar Plano, Spain
 Liga Dimayor, Millonarios FC, Harrison Henao, Colombia
 Bundesliga 2, FC St. Pauli Hamburg, Philipp Ziereis, Germany
 Dawry Jameel, Al Taawoun, Jehad Al Hussien, Syria
 Eredivisie, PEC Zwolle, Bram van Polen, Holland
 Eredivisie, PEC Zwolle, Mustafa Saymak, Holland
 Calcio B, Carpi, Lorenzo Lollo, Italy
 Süper Lig, Gaziantepspor, Nabil Ghilas, Algeria
 Eredivisie, Feyenoord, Bilal Başaçıkoğlu, Turkey
 Bundesliga, Sport-Club Freiburg, Christian Günter, Germany
 Ekstraklasa, Lech Poznań, Maciej Gajos, Poland
 Bundesliga, 1. FSV Mainz 05, André Ramalho, Brazil
 LaLiga Santander, UD Las Palmas, Hélder Lopes, Portugal
 Liga NOS, Boavista FC, Renato Santos, Portugal
 Ligue 1, Dijon FCO, Fouad Chafik, Morocco
 Calcio A, Palermo, Haitam Aleesami, Norway
 LaLiga 1 I 2 I 3, Cádiz CF, José Mari, Spain
 Liga NOS, Vitória Guimarães, Paolo Hurtado, Peru
 Österreichische Fußball-Bundesliga, SK Rapid Wien, Arnór Ingvi Traustason, Iceland
 Primera División, Boca Juniors, Adrián Centurión, Argentina
 Ligue 1, LOSC Lille, Ibrahim Amadou, Cameroon
 LaLiga 1 I 2 I 3, CD Lugo, Carlos Hernández, Spain
 Calcio A, Empoli, Federico Barba, Italy
 Bundesliga, FC Ingolstadt 04, Robert Leipertz, Germany
 Dawry Jameel, Al Ahli, Mohamed Abdul Shafy, Egypt
 Bundesliga, FC Augsburg, Philipp Max, Germany
 Liga Dimayor, Millonarios FC, Pedro Franco, Colombia
 Ligue 1, FC Lorient, Steven Moreira, France
 Liga NOS, F. Santa Maria da Feira, Tiago Silva, Portugal
 Primera División, Club Atlético Talleres, Sebastián Palacios, Argentina
 Belgium Pro League, Standard de Liège, Corentin Fiore, Belgium
 Bundesliga 2, Eintracht Braunschweig, Saulo Decarli, Switzerland
 LIGA Bancomer MX, Pachuca, Raúl López, Mexico
 LaLiga 1 I 2 I 3, UCAM Murcia CF, Albizua, Spain
 LaLiga Santander, CA Osasuna, Fausto, Spain
 Eredivisie, Feyenoord, Simon Gustafson, Sweden
 Calcio A, Bologna, Erick Pulgar, Chile
 Premier League, Sunderland, Paddy McNair, Northern Ireland
 Liga NOS, Vitória Setúbal, Fábio Cardoso, Portugal
